id_order;country;state;city;weight;order_status
795;España;Barcelona;"Alella Barcelona";38.000000;Entregado
796;España;Asturias;Gijón;492.800000;Entregado
797;España;Madrid;Madrid;4.280000;Entregado
798;España;Barcelona;Barcelona;8.320000;Entregado
799;España;Málaga;Málaga;23.000000;Entregado
800;Francia;"Garonne, Haute-";Launaguet;1.250000;Entregado
801;Francia;París;"Neuilly sur Seine ";2.000000;Entregado
802;España;Cáceres;"Peraleda de la mata";630.380000;Entregado
803;España;València;Valencia;3.580000;"Pedido listo para recogida en almacén por el cliente"
804;Francia;Bouches-du-Rhône;Marseille;1.860000;Entregado
805;España;Madrid;"BOADILLA DEL MONTE";40.500000;Entregado
806;España;Madrid;VILLAMANTA;28.880000;Entregado
807;España;Alacant;Alcoy;57.500000;Entregado
808;España;"Palma de Mallorca";palma;0.830000;Entregado
809;España;Barcelona;Cardedeu;2.000000;Entregado
810;Francia;París;Paris;3.000000;Entregado
811;Francia;París;Paris;1023.500000;Entregado
812;España;Málaga;Competa;148.150000;Entregado
813;España;Jaén;Jaen;379.500000;Entregado
814;Francia;Var;Fréjus;0.820000;Entregado
815;Bélgica;"Flandre orientale";Gentbrugge;6.000000;"Recogido por cliente en almacén"
816;Francia;Val-de-Marne;"VITRY SUR SEINE";156.240000;Entregado
817;España;Madrid;"Madrid ";1.480000;Entregado
818;Francia;París;PARIS;3.940000;Entregado
819;España;Huesca;Huesca;72.540000;Entregado
820;España;Barcelona;Barcelona;40.200000;Entregado
821;Francia;Calvados;"Dampierre - Val de drome";2.160000;Entregado
822;España;Tarragona;pratdip;149.600000;Entregado
823;España;València;Valencia;32.800000;Entregado
824;España;València;Oliva;245.830000;Entregado
825;España;Barcelona;barcelona;466.400000;Entregado
826;España;Barcelona;"Pineda de mar";98.480000;Entregado
827;España;"Palma de Mallorca";palma;4.470000;Entregado
828;España;Barcelona;"Santa Coloma de Gramenet";3.140000;Entregado
830;España;Gipuzkoa;Azpeitia;730.400000;Entregado
831;España;València;Valencia;15.000000;Entregado
832;Francia;Orne;"LE PAS SAINT L HOMER";1.690000;Entregado
833;España;Girona;"TORROELLA DE MONTGRÍ";9.040000;Entregado
834;Francia;Val-d'Oise;groslay;439.900000;Entregado
837;Francia;Oise;Creil;207.500000;Entregado
840;Francia;"Seine, Hauts-de-";Sèvres;8.000000;Entregado
841;España;Sevilla;Gelves;2.280000;Entregado
842;España;"La Rioja";Logroño;245.950000;Entregado
843;España;Bizkaia;Getxo;1.290000;Entregado
844;Francia;"Savoie, Haute-";Thônes;544.000000;Entregado
846;España;Huesca;Riglos;278.000000;Entregado
847;España;Barcelona;"L’Hospitalet de Llobregat";0.600000;Entregado
848;"Países Bajos";Zuid-Holland;Rotterdam;0.220000;Entregado
849;España;Bizkaia;Derio;2.000000;Reembolsado
850;España;Tarragona;"Jesus (Tortosa)";136.800000;Entregado
851;España;Madrid;Madrid;4.860000;Entregado
852;España;Madrid;"Alcalá de Henares";6.720000;Entregado
853;España;Barcelona;Barcelona;68.000000;Entregado
854;Francia;París;Paris;2.400000;Entregado
855;España;Madrid;Loeches;19.810000;Entregado
856;Bélgica;"Anderlecht (Bruxelles-Capitale)";"Molenbeek St Jean";299.200000;Entregado
857;España;Cáceres;"Torrejón el Rubio";5.670000;Entregado
858;España;"Balears (otras islas)";Sóller;1091.200000;Entregado
859;España;Barcelona;Banyoles;9.370000;Entregado
860;España;"Palma de Mallorca";Palma;123.100000;Entregado
861;España;Barcelona;Barcelona;40.200000;Entregado
862;España;Barcelona;Barcelona;219.920000;Entregado
863;España;Barcelona;"Barcelona ";3.180000;"Recogido por cliente en almacén"
864;España;Barcelona;Barcelona;6.070000;Entregado
865;Francia;París;PARIS;54.400000;Entregado
866;España;Madrid;MADRID;14.610000;Entregado
867;España;Madrid;Madrid;8.990000;Entregado
868;España;Madrid;Madrid;308.200000;Entregado
870;España;Lleida;Lleida;8.380000;Entregado
871;España;València;Valencia;105.300000;Entregado
872;España;Girona;"Palau Saverdera";93.800000;Entregado
873;Francia;Seine-Saint-Denis;"Saint -Denis ";2.210000;Entregado
874;España;Cáceres;"Peraleda de la Mata";1.000000;Entregado
875;España;València;"BORBOTÓ, VALÈNCIA";4.020000;"Pedido listo para recogida en almacén por el cliente"
